CODE|EQUIPMENT_TYPE|DESCRIPTION|SEVERITY|RECOMMENDED_ACTION|RESPONSE_TIME_HOURS
P010|PUMP|Discharge pressure low|MEDIUM|Check impeller condition and wear ring clearance; inspect check valves; check speed|8
P011|PUMP|Oil contamination|HIGH|Drain and flush bearing housing; submit oil sample; identify and eliminate contamination source|6
P012|PUMP|Coupling misalignment|MEDIUM|Realign pump and motor using dial indicator; accept <0.002 in TIR offset|4
P013|PUMP|Shaft bow|HIGH|Measure shaft runout at bearing seats; replace shaft if TIR >0.003 in at coupling|24
P014|PUMP|Casing crack|CRITICAL|Immediate pump shutdown and isolation; depressurize; replace casing assembly|2
P015|PUMP|Bearing housing crack|CRITICAL|Immediate pump shutdown; do not restart; replace bearing housing before return to service|2
C001|COMPRESSOR|Valve failure - suction|HIGH|Remove and replace suction valve plates and springs; check seat flatness <0.002 in|8
C002|COMPRESSOR|Valve failure - discharge|HIGH|Remove and replace discharge valve plates and springs; lap or replace seats|8
C003|COMPRESSOR|Piston ring wear|MEDIUM|Disassemble cylinder; measure ring end gap; replace rings if gap >0.018 in|16
C004|COMPRESSOR|Cylinder overheating|CRITICAL|Reduce compressor load immediately; verify cooling water flow >15 GPM; check valves|2
C005|COMPRESSOR|Intercooler fouling|MEDIUM|Clean tube bundle with 10% citric acid solution; verify pressure drop <5 psi after clean|12
C006|COMPRESSOR|Oil pressure low|CRITICAL|Emergency shutdown immediately; check oil level; inspect oil pump and filter; find cause|1
C007|COMPRESSOR|High vibration|HIGH|Check crankshaft bearing clearances; inspect crosshead alignment; verify foundation bolts|8
C008|COMPRESSOR|Crosshead wear|HIGH|Measure crosshead clearance; replace crosshead shoes if clearance >0.020 in|24
C009|COMPRESSOR|Rod packing leak|MEDIUM|Replace piston rod packing rings; inspect rod surface for scoring; purge packing case|8
C010|COMPRESSOR|Crankshaft bearing failure|CRITICAL|Immediate emergency shutdown; open crankcase; inspect and replace all affected bearings|2
C011|COMPRESSOR|High discharge temperature|HIGH|Check intercooler cooling water flow; inspect discharge valves; reduce compression ratio|6
C012|COMPRESSOR|Low inlet pressure|MEDIUM|Inspect inlet filter for blockage; check suction line for obstructions; verify upstream source|4
C013|COMPRESSOR|PSV lift|HIGH|Reduce system pressure; identify cause of overpressure; inspect PSV for proper reseating|4
C014|COMPRESSOR|Intercooler leak|HIGH|Isolate and depressurize intercooler; perform hydrostatic test; plug or replace leaking tubes|8
C015|COMPRESSOR|Lube oil contamination|HIGH|Drain and flush entire lubrication system; identify and eliminate contamination source; refill with fresh oil|8
